sr. no.,Country,text,timestamp,tweet_url,likes,retweets,Related to Covid,Tweet Type,Tweet Sub-Type
1,Australia,"This morning Jenny will join me as we remember and give thanks for the life and service of Geoff Keaton at his memorial with his partner Jess, his son Harvey and all his family and friends, especially those from the Horsley Park RFS Brigade.",2020-01-01 22:44:15,/ScottMorrisonMP/status/1212504840426799104,1671,152,No,,
2,Australia,Around 1000 people have been safely evacuated from Mallacoota today on board the HMAS Choules & MV Sycamore following the Federal Government’s decision to deploy both vessels earlier this week to support the Victorian Gov’s efforts. Thanks to all those involved in this operation.https://twitter.com/lindareynoldswa/status/1213009566641704961 …,2020-01-03 09:45:14,/ScottMorrisonMP/status/1213033568315686913,2085,316,No,,
3,Australia,Swinging into action.https://twitter.com/FoodbankAus/status/1213239456376868864 …,2020-01-04 07:31:38,/ScottMorrisonMP/status/1213362335802220550,1526,205,No,,
4,Australia,Thanks to the Australian Navy and all involved in this evacuation. The HMAS Choules is one of 3 navy ships we’ve deployed to assist with the bushfire response efforts. HMAS Adelaide is on its way from Sydney to join the effort.https://twitter.com/7NewsMelbourne/status/1213361854887518210 …,2020-01-04 07:55:05,/ScottMorrisonMP/status/1213368234738536448,1053,124,No,,
5,Australia,Well done ADF and all those involved.https://twitter.com/incident_alert/status/1213379533212008449 …,2020-01-04 09:38:23,/ScottMorrisonMP/status/1213394231290515457,1485,179,No,,
6,Australia,Great news. Great job.https://twitter.com/BrettMasonNews/status/1213730290947915776 …,2020-01-05 08:40:03,/ScottMorrisonMP/status/1213741939805179904,2117,230,No,,
7,Australia,"We're putting an initial $2 billion into a new bushfire recovery fund to ensure the families, farmers and business owners hit by these unprecedented #bushfires get the support they need as they recover.",2020-01-06 04:48:20,/ScottMorrisonMP/status/1214046016673988608,2225,276,No,,
8,Australia,Thank you @AusAirForce. Great job.https://twitter.com/DeptDefence/status/1213975958308278272 …,2020-01-06 04:51:41,/ScottMorrisonMP/status/1214046859401912320,776,90,No,,
9,Australia,Thank you @EmmanuelMacron and all our international friends who have reached out to offer their support and are providing assistance in our time of need.https://twitter.com/EmmanuelMacron/status/1213887966692679681 …,2020-01-06 05:00:56,/ScottMorrisonMP/status/1214049184111661058,986,174,No,,
10,Australia,"Thank you to the US, Canada, NZ and Singapore, who are providing support to help us fight these terrible #bushfires, including firefighters, helicopters and troops. We deeply appreciate the many other international friends who have offered support.",2020-01-06 05:03:56,/ScottMorrisonMP/status/1214049941103894530,3537,493,No,,
11,Australia,Great stuff. Well done.https://twitter.com/DeptDefence/status/1214109442016522241 …,2020-01-06 21:38:59,/ScottMorrisonMP/status/1214300355107835904,846,126,No,,
12,Australia,Our ADF has also been helping to evacuate family pets from fire-affected communities along with their owners https://twitter.com/DarrenChesterMP/status/1214310375010775041 …,2020-01-06 22:35:55,/ScottMorrisonMP/status/1214314679687794688,1229,174,No,,
13,Australia,Thanks @BorisJohnson and also for the personal message overnight. Appreciate all the support - the UK is a great friend of Australia.https://twitter.com/BorisJohnson/status/1214296698115297280 …,2020-01-07 02:00:07,/ScottMorrisonMP/status/1214366069915127808,3801,690,No,,
